"","country","date","update","cases","new_cases","deaths","new_deaths","recovered","new_recovered","active_cases","per100k","newper100k","activeper100k","deathsper100k","newdeathsper100k","days_since_case100","days_since_death10"
"93","Afghanistan",2020-07-29,190,36471,103,1271,1,25389,31,9811,93.7,0.3,25.2,3.3,0,124,114
"258","Albania",2020-07-29,190,5105,108,150,2,2830,41,2125,177.4,3.8,73.8,5.2,0.1,128,123
"359","Algeria",2020-07-29,190,29229,614,1186,12,19592,359,8451,66.7,1.4,19.3,2.7,0,130,131
"457","Andorra",2020-07-29,190,918,11,52,0,804,1,62,1192.2,14.3,80.5,67.5,0,129,120
"680","Angola",2020-07-29,190,1078,78,48,1,301,35,729,3.3,0.2,2.2,0.1,0,49,37
"869","Antigua and Barbuda",2020-07-29,190,91,5,3,0,67,2,21,92.9,5.1,21.4,3.1,0,0,0
"885","Argentina",2020-07-29,190,178996,5641,3288,109,77855,2772,97853,396,12.5,216.5,7.3,0.2,131,124
"1157","Armenia",2020-07-29,190,37937,308,723,4,27824,467,9390,1280.4,10.4,316.9,24.4,0.1,132,111
"1308","Australia",2020-07-29,190,16298,716,189,13,9619,2,6490,63.9,2.8,25.5,0.7,0.1,141,125
"1446","Austria",2020-07-29,190,20850,173,716,3,18528,149,1606,231.5,1.9,17.8,8,0,143,129
"1658","Azerbaijan",2020-07-29,190,31221,363,438,8,24495,622,6288,307.9,3.6,62,4.3,0.1,125,110
"1774","Bahrain",2020-07-29,190,40311,390,144,3,36920,389,3247,2368.4,22.9,190.8,8.5,0.2,141,77
"1956","Bangladesh",2020-07-29,190,232194,3009,3035,35,130292,2878,98867,141,1.8,60,1.8,0,114,114
"1992","Barbados",2020-07-29,190,110,0,7,0,95,1,8,38.3,0,2.8,2.4,0,18,0
"2168","Belarus",2020-07-29,190,67518,152,548,5,61442,773,5528,714.6,1.6,58.5,5.8,0.1,121,114
"2365","Belgium",2020-07-29,190,67335,673,9836,3,17491,15,40008,581,5.8,345.2,84.9,0,145,134
"2476","Belize",2020-07-29,190,48,0,2,0,27,0,19,12.1,0,4.8,0.5,0,0,0
"2695","Benin",2020-07-29,190,1805,35,36,1,1036,0,733,14.9,0.3,6,0.3,0,83,41
"2789","Bhutan",2020-07-29,190,99,0,0,0,86,0,13,12.8,0,1.7,0,0,0,0
"2968","Bolivia",2020-07-29,190,73534,1207,2808,88,22506,535,48220,629.9,10.3,413.1,24.1,0.8,120,116
"3006","Bosnia and Herzegovina",2020-07-29,190,11127,361,316,19,5441,221,5370,339.1,11,163.7,9.6,0.6,129,121
"3172","Botswana",2020-07-29,190,804,65,2,0,63,0,739,34.2,2.8,31.4,0.1,0,30,0
"3301","Brazil",2020-07-29,190,2552265,69074,90134,1595,1922802,54053,539329,1200.7,32.5,253.7,42.4,0.8,138,131
"3550","Brunei",2020-07-29,190,141,0,3,0,138,0,0,32.3,0,0,0.7,0,127,0
"3666","Bulgaria",2020-07-29,190,11155,284,368,13,5971,205,4816,160.5,4.1,69.3,5.3,0.2,131,119
"3831","Burkina Faso",2020-07-29,190,1105,0,53,0,931,5,121,5.3,0,0.6,0.3,0,127,123
"3859","Burma",2020-07-29,190,351,0,6,0,294,1,51,0.6,0,0.1,0,0,101,0
"4000","Burundi",2020-07-29,190,387,9,1,0,304,3,82,3.3,0.1,0.7,0,0,43,0
"4138","Cambodia",2020-07-29,190,226,0,0,0,147,0,79,1.4,0,0.5,0,0,122,0
"4392","Cameroon",2020-07-29,190,17255,76,391,0,15320,781,1544,65,0.3,5.8,1.5,0,122,112
"4584","Canada",2020-07-29,190,117357,486,8962,5,101992,306,6403,310.9,1.3,17,23.7,0,140,131
"4725","Cape Verde",2020-07-29,190,2373,19,23,1,1694,78,656,426.8,3.4,118,4.1,0.2,94,33
"4858","Central African Republic",2020-07-29,190,4605,6,59,0,1574,28,2972,95.3,0.1,61.5,1.2,0,82,43
"4987","Chad",2020-07-29,190,926,0,75,0,813,3,38,5.6,0,0.2,0.5,0,88,88
"5129","Chile",2020-07-29,190,351575,1775,9278,38,324557,2225,17740,1839.2,9.3,92.8,48.5,0.2,136,120
"5306","Colombia",2020-07-29,190,276055,8670,9454,380,142777,6087,123824,542.5,17,243.4,18.6,0.7,133,122
"5380","Comoros",2020-07-29,190,378,24,7,0,330,2,41,43.4,2.8,4.7,0.8,0,60,0
"5479","Costa Rica",2020-07-29,190,16800,456,133,8,4050,130,12617,329.8,9,247.7,2.6,0.2,130,74
"5575","Cote d'Ivoire",2020-07-29,190,15813,100,99,1,10793,256,4921,59.9,0.4,18.7,0.4,0,124,99
"5799","Croatia",2020-07-29,190,4993,70,141,1,4099,65,753,121.6,1.7,18.3,3.4,0,132,116
"5971","Cuba",2020-07-29,190,2588,33,87,0,2353,1,148,22.8,0.3,1.3,0.8,0,123,113
"6109","Cyprus",2020-07-29,190,1080,13,19,0,852,0,209,89.5,1.1,17.3,1.6,0,128,114
"6262","Czech Republic",2020-07-29,190,16093,294,374,0,11429,1,4290,150.3,2.7,40.1,3.5,0,138,123
